Authors	Title	Publication	Volume	Number	Pages	Year	doi
Anderson, Rika E; Reveillaud, Julie; Reddington, Emily; Delmont, Tom O; Eren, A Murat; McDermott, Jill M; Seewald, Jeff S; Huber, Julie A; 	Genomic variation in microbial populations inhabiting the marine subseafloor at deep-sea hydrothermal vents	Nature Communications	8	1	1114	2017	10.1038/s41467-017-01228-6
Quince, Christopher; Delmont, Tom O; Raguideau, Sébastien; Alneberg, Johannes; Darling, Aaron E; Collins, Gavin; Eren, A Murat; 	DESMAN: a new tool for de novo extraction of strains from metagenomes	Genome Biology	18	1	181	2017	10.1186/s13059-017-1309-9
Bowers, Robert M; Kyrpides, Nikos C; Stepanauskas, Ramunas; Harmon-Smith, Miranda; Doud, Devin; Reddy, T B K; Schulz, Frederik; Jarett, Jessica; Rivers, Adam R; Eloe-Fadrosh, Emiley A; Tringe, Susannah G; Ivanova, Natalia N; Copeland, Alex; Clum, Alicia; Becraft, Eric D; Malmstrom, Rex R; Birren, Bruce; Podar, Mircea; Bork, Peer; Weinstock, George M; Garrity, George M; Dodsworth, Jeremy A; Yooseph, Shibu; Sutton, Granger; Glöckner, Frank O; Gilbert, Jack A; Nelson, William C; Hallam, Steven J; Jungbluth, Sean P; Ettema, Thijs J G; Tighe, Scott; Konstantinidis, Konstantinos T; Liu, Wen-Tso; Baker, Brett J; Rattei, Thomas; Eisen, Jonathan A; Hedlund, Brian; McMahon, Katherine D; Fierer, Noah; Knight, Rob; Finn, Rob; Cochrane, Guy; Karsch-Mizrachi, Ilene; Tyson, Gene W; Rinke, Christian; Kyrpides, Nikos C; Schriml, Lynn; Garrity, George M; Hugenholtz, Philip; Sutton, Granger; Yilmaz, Pelin; Meyer, Folker; Glöckner, Frank O; Gilbert, Jack A; Knight, Rob; Finn, Rob; Cochrane, Guy; Karsch-Mizrachi, Ilene; Lapidus, Alla; Meyer, Folker; Yilmaz, Pelin; Parks, Donovan H; Eren, A M; Schriml, Lynn; Banfield, Jillian F; Hugenholtz, Philip; Woyke, Tanja; 	Minimum information about a single amplified genome (MISAG) and a metagenome-assembled genome (MIMAG) of bacteria and archaea	Nature biotechnology	35	8	725	2017	10.1038/nbt.3893
Miyoshi, Jun; Bobe, Alexandria M; Miyoshi, Sawako; Huang, Yong; Hubert, Nathaniel; Delmont, Tom O; Eren, A Murat; Leone, Vanessa; Chang, Eugene B; 	Peripartum antibiotics promote gut dysbiosis, loss of immune tolerance, and inflammatory bowel disease in genetically prone offspring	Cell Reports	20	2	491-504	2017	10.1016/j.celrep.2017.06.060
Delmont, Tom O; Eren, A Murat; 	Identifying contamination with advanced visualization and analysis practices: metagenomic approaches for eukaryotic genome assemblies	PeerJ	4		e1839	2016	10.7717/peerj.1839
Vineis, Joseph H; Ringus, Daina L; Morrison, Hilary G; Delmont, Tom O; Dalal, Sushila; Raffals, Laura H; Antonopoulos, Dionysios A; Rubin, David T; Eren, A Murat; Chang, Eugene B; Sogin, Mitchell L; 	Patient-specific bacteroides genome variants in pouchitis	mBio	7	6	e01713-16	2016	10.1128/mBio.01713-16
Eren, A Murat; Sogin, Mitchell L; Maignien, Loïs; 	New insights into microbial ecology through subtle nucleotide variation	Frontiers in microbiology	7		1318	2016	10.3389/fmicb.2016.01318
Bálint, Miklós; Bahram, Mohammad; Eren, A Murat; Faust, Karoline; Fuhrman, Jed A; Lindahl, Björn; O'hara, Robert B; Öpik, Maarja; Sogin, Mitchell L; Unterseher, Martin; 	Millions of reads, thousands of taxa: microbial community structure and associations analyzed via marker genes	FEMS Microbiology Reviews	40	5	686-700	2016	10.1093/femsre/fuw017
Eren, A Murat; Esen, Özcan C; Quince, Christopher; Vineis, Joseph H; Morrison, Hilary G; Sogin, Mitchell L; Delmont, Tom O; 	Anvi’o: an advanced analysis and visualization platform for ‘omics data	PeerJ	3		e1319	2015	10.7717/peerj.1319
Eren, A Murat; Morrison, Hilary G; Lescault, Pamela J; Reveillaud, Julie; Vineis, Joseph H; Sogin, Mitchell L; 	Minimum entropy decomposition: unsupervised oligotyping for sensitive partitioning of high-throughput marker gene sequences	The ISME Journal	9	4	968	2015	10.1038/ismej.2014.195
Eren, A Murat; Sogin, Mitchell L; Morrison, Hilary G; Vineis, Joseph H; Fisher, Jenny C; Newton, Ryan J; McLellan, Sandra L; 	A single genus in the gut microbiome reflects host preference and specificity	The ISME Journal	9	1	90	2015	10.1038/ismej.2014.97
Delmont, Tom O; Eren, A Murat; Maccario, Lorrie; Prestat, Emmanuel; Esen, Özcan C; Pelletier, Eric; Le Paslier, Denis; Simonet, Pascal; Vogel, Timothy M; 	Reconstructing rare soil microbial genomes using in situ enrichments and metagenomics	Frontiers in microbiology	6		358	2015	10.3389/fmicb.2015.00358
Quince, Christopher; Ijaz, Umer Zeeshan; Loman, Nick; Eren, A Murat; Saulnier, Delphine; Russell, Julie; Haig, Sarah J; Calus, Szymon T; Quick, Joshua; Barclay, Andrew; Bertz, Martin; Blaut, Michael; Hansen, Richard; McGrogan, Paraic; Russell, Richard K; Edwards, Christine A; Gerasimidis, Konstantinos; 	Extensive modulation of the fecal metagenome in children with Crohn’s disease during exclusive enteral nutrition	The American journal of gastroenterology	110	12	1718	2015	10.1038/ajg.2015.357
Newton, Ryan J; McLellan, Sandra L; Dila, Deborah K; Vineis, Joseph H; Morrison, Hilary G; Eren, A Murat; Sogin, Mitchell L; 	Sewage reflects the microbiomes of human populations	mBio	6	2	e02574-14	2015	10.1128/mBio.02574-14
Eren, A Murat; Borisy, Gary G; Huse, Susan M; Welch, Jessica L Mark; 	Oligotyping analysis of the human oral microbiome	Proceedings of the National Academy of Sciences	111	28	E2875-E2884	2014	10.1073/pnas.1409644111
McLellan, Sandra L; Eren, A Murat; 	Discovering new indicators of fecal pollution	Trends in Microbiology	22	12	697-706	2014	10.1016/j.tim.2014.08.002
Mark Welch, Jessica L; Utter, Daniel R; Rossetti, Blair J; Mark Welch, David B; Eren, A Murat; Borisy, Gary G; 	Dynamics of tongue microbial communities with single-nucleotide resolution using oligotyping	Frontiers in microbiology	5		568	2014	10.3389/fmicb.2014.00568
Apprill, Amy; Robbins, Jooke; Eren, A Murat; Pack, Adam A; Reveillaud, Julie; Mattila, David; Moore, Michael; Niemeyer, Misty; Moore, Kathleen MT; Mincer, Tracy J; 	Humpback whale populations share a core skin bacterial community: towards a health index for marine mammals?	PLoS One	9	3	e90785	2014	10.1371/journal.pone.0090785
Reveillaud, Julie; Maignien, Loïs; Eren, A Murat; Huber, Julie A; Apprill, Amy; Sogin, Mitchell L; Vanreusel, Ann; 	Host-specificity among abundant and rare taxa in the sponge microbiome	The ISME Journal	8	6	1198-209	2014	10.1038/ismej.2013.227
Maignien, Loïs; DeForce, Emelia A; Chafee, Meghan E; Eren, A Murat; Simmons, Sheri L; 	Ecological succession and stochastic variation in the assembly of Arabidopsis thaliana phyllosphere communities	mBio	5	1	e00682-13	2014	10.1128/mBio.00682-13
Eren, A Murat; Maignien, Lois; Sul, Woo Jun; Murphy, Leslie G; Grim, Sharon L; Morrison, Hilary G; Sogin, Mitchell L; 	Oligotyping: differentiating between closely related microbial taxa using 16S rRNA gene data	Methods in Ecology and Evolution	4	12	1111-1119	2013	10.1111/2041-210X.12114
Eren, A Murat; Vineis, Joseph H; Morrison, Hilary G; Sogin, Mitchell L; 	A filtering method to generate high quality short reads using Illumina paired-end technology	PLOS ONE	8	6	e66643	2013	10.1371/journal.pone.0066643
Eren, A Murat; Morrison, Hilary G; Huse, Susan M; Sogin, Mitchell L; 	DRISEE overestimates errors in metagenomic sequencing data	Briefings in Bioinformatics	15	5	783-787	2013	10.1093/bib/bbt010
McLellan, Sandra L; Newton, Ryan J; Vandewalle, Jessica L; Shanks, Orin C; Huse, Susan M; Eren, A Murat; Sogin, Mitchell L; 	Sewage reflects the distribution of human faecal Lachnospiraceae	Environmental Microbiology	15	8	2213-2227	2013	10.1111/1462-2920.12092
